Account,date,daily_pnl,classification,value,win_rate,avg_trade_size,num_trades,long_short_ratio,leverage_proxy,daily_volume,profit_per_trade,Crossed,frequency_segment,consistency_segment,profitable_day,leverage_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,Neutral,54.0,0.37142857142857144,26585.06338095238,210,0.5909090909090909,25.425314941809066,5582863.31,211.43288476190477,0.2857142857142857,frequent,inconsistent,True,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,Neutral,46.0,0.9361702127659575,10161.056241134751,141,14.666666666666666,6.647785563235202,1432708.93,219.12828865248227,0.0,frequent,inconsistent,True,low_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,Fear,43.0,0.3333333333333333,32032.5,48,0.5,27.67204914503107,1537560.0,1147.625,0.0,frequent,inconsistent,True,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,Neutral,47.0,0.0,134600.00166666668,6,0.0,96.2727748098503,807600.01,0.0,0.0,frequent,inconsistent,False,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,Neutral,49.0,0.5254237288135594,27178.041694915253,59,1.1071428571428572,18.927916053577963,1603504.46,172.06986847457628,1.0,frequent,inconsistent,True,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,Fear,25.0,0.4246575342465753,13233.776894977169,219,0.7380952380952381,9.197007016381784,2898197.14,527.1479248310502,0.1461187214611872,frequent,inconsistent,True,low_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,Extreme Fear,16.0,0.01818181818181818,24958.908545454546,55,0.018518518518518517,20.707068866642665,1372739.97,2096.1272727272726,0.0,frequent,inconsistent,True,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,Extreme Fear,20.0,0.8,2985.797555555556,45,4.0,2.3236460746270335,134360.89,210.7160320222222,0.0,frequent,inconsistent,True,low_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,Fear,33.0,0.8424336973478939,8371.136099843994,641,5.346534653465347,75.91564333731812,5365898.24,833.0337954804993,0.0,frequent,inconsistent,True,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,Neutral,45.0,0.8,79640.0,5,4.0,219.53140300643673,398200.0,8040.0,0.0,frequent,inconsistent,True,medium_leverage
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,Fear,43.0,1.0,21491.640322580646,31,0.0,125.43793238106369,666240.85,9930.832368064515,0.0,frequent,inconsistent,True,medium_leverage
